dlw_var_names ,pip_var_names ,pip_vars_class 
countrycode,country_code,string
year,surveyid_year,numeric
survname,survey_acronym,string
survey_year,survey_year,numeric
hhid,hhid,string
pid,pid,string
welfare,welfare,numeric
weight,weight,numeric
age,age,numeric
male,gender,string
urban,area,string
subnatid1,subnational_id1,string
subnatid2,subnational_id2,string
subnatid3,subnational_id3,string
educat4,educat4,string
educat5,educat5,string
literacy,literacy,string
welfare_type,welfare_type,string
distribution_type,distribution_type,string
cpi_data_level,cpi_data_level,string
ppp_data_level,ppp_data_level,string
pop_data_level,pop_data_level,string
gdp_data_level,gdp_data_level,string
pce_data_level,pce_data_level,string
gd_type,gd_type,string
alt_welfare,alt_welfare,numeric
sim,imputation_id,string
